avg_sentence_length,sentence_length_std,type_token_ratio,stopword_ratio,pos_distribution_PUNCT,pos_distribution_PROPN,pos_distribution_DET,pos_distribution_ADJ,pos_distribution_NOUN,pos_distribution_AUX,pos_distribution_ADV,pos_distribution_VERB,pos_distribution_ADP,pos_distribution_CCONJ,pos_distribution_NUM,pos_distribution_PART,pos_distribution_PRON,pos_distribution_SCONJ,redundancy_score,perplexity,num_sentences,num_tokens,label,pos_distribution_INTJ,pos_distribution_X,pos_distribution_SYM,avg_sentence_similarity,max_similarity
20.6,9.687104830649869,0.447463768115942,0.2732474964234621,0.1759656652360515,0.06294706723891273,0.05293276108726753,0.09871244635193133,0.24606580829756797,0.04148783977110158,0.01859799713876967,0.11587982832618025,0.08011444921316166,0.06151645207439199,0.024320457796852647,0.01430615164520744,0.004291845493562232,0.002861230329041488,0.008403361344537815,8.855988502502441,35,699,ai,0.0,0.0,0.0,0.0,0.0
12.5,6.389164935375246,0.5306122448979592,0.05232558139534884,0.12209302325581395,0.563953488372093,0.046511627906976744,0.011627906976744186,0.12790697674418605,0.0,0.011627906976744186,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.85659408569336,14,172,ai,0.005813953488372093,0.040697674418604654,0.0,0.0,0.0
46.083333333333336,24.284625909318752,0.2549019607843137,0.0,0.1198501872659176,0.5318352059925093,0.0,0.033707865168539325,0.09550561797752809,0.0,0.003745318352059925,0.06179775280898876,0.016853932584269662,0.0018726591760299626,0.08239700374531835,0.0018726591760299626,0.00749063670411985,0.0,0.25757575757575757,4.346510410308838,12,534,ai,0.0018726591760299626,0.03932584269662921,0.0018726591760299626,0.0,0.0
29.0,17.708754896942924,0.6349206349206349,0.0,0.04195804195804196,0.6083916083916084,0.006993006993006993,0.03496503496503497,0.16783216783216784,0.013986013986013986,0.006993006993006993,0.03496503496503497,0.04895104895104895,0.0,0.006993006993006993,0.0,0.0,0.0,0.5,6.715313911437988,5,143,post_edited_ai,0.006993006993006993,0.006993006993006993,0.013986013986013986,0.0,0.0
17.4375,9.558822822398163,0.4977168949771689,0.0,0.11787072243346007,0.6692015209125475,0.0076045627376425855,0.015209125475285171,0.10646387832699619,0.0,0.0,0.030418250950570342,0.0,0.0,0.019011406844106463,0.0,0.0,0.0,0.125,5.299037933349609,16,263,ai,0.030418250950570342,0.0038022813688212928,0.0,0.0,0.0
29.80952380952381,25.557813170515136,0.3693467336683417,0.010033444816053512,0.25752508361204013,0.5133779264214047,0.008361204013377926,0.013377926421404682,0.10702341137123746,0.0,0.0033444816053511705,0.020066889632107024,0.013377926421404682,0.0,0.01839464882943144,0.0,0.0,0.0,0.014285714285714285,17.10014533996582,21,598,ai,0.0,0.0451505016722408,0.0,0.0,0.0
25.166666666666668,27.11344479937747,0.45454545454545453,0.0,0.07857142857142857,0.5964285714285714,0.0,0.025,0.21428571428571427,0.0,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.0,0.014285714285714285,0.0,0.0,0.0,0.09090909090909091,7.0861921310424805,12,280,ai,0.010714285714285714,0.025,0.0,0.0,0.0
14.5,5.346338310781813,0.7761194029850746,0.40229885057471265,0.14942528735632185,0.0,0.034482758620689655,0.13793103448275862,0.20689655172413793,0.05747126436781609,0.034482758620689655,0.10344827586206896,0.04597701149425287,0.04597701149425287,0.0,0.034482758620689655,0.09195402298850575,0.022988505747126436,0.0,14.525949478149414,6,87,ai,0.0,0.011494252873563218,0.022988505747126436,0.0,0.0
25.22222222222222,5.6524877075452915,0.39233576642335766,0.37537537537537535,0.14264264264264265,0.07957957957957958,0.11861861861861862,0.06306306306306306,0.22672672672672672,0.015015015015015015,0.015015015015015015,0.0990990990990991,0.1036036036036036,0.05555555555555555,0.006006006006006006,0.03453453453453453,0.03303303303303303,0.0075075075075075074,0.011396011396011397,11.677699089050293,27,666,ai,0.0,0.0,0.0,0.0,0.0
15.0,9.423375191511797,0.6370370370370371,0.0,0.14084507042253522,0.48826291079812206,0.014084507042253521,0.014084507042253521,0.18309859154929578,0.0,0.014084507042253521,0.014084507042253521,0.004694835680751174,0.0,0.03755868544600939,0.0,0.0,0.0,0.11428571428571428,6.558770179748535,15,213,ai,0.004694835680751174,0.004694835680751174,0.07981220657276995,0.0,0.0
17.181818181818183,7.505369978381926,0.6124031007751938,0.0,0.2391304347826087,0.5815217391304348,0.0,0.021739130434782608,0.09239130434782608,0.0,0.0,0.043478260869565216,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.21818181818181817,6.361782073974609,11,184,ai,0.005434782608695652,0.0,0.010869565217391304,0.0,0.0
22.0625,11.338368213724584,0.5227272727272727,0.030120481927710843,0.13855421686746988,0.5120481927710844,0.02108433734939759,0.0391566265060241,0.11144578313253012,0.0,0.0,0.02710843373493976,0.024096385542168676,0.0,0.0,0.0,0.009036144578313253,0.0,0.0,58.27274703979492,16,332,ai,0.0030120481927710845,0.1144578313253012,0.0,0.0,0.0
